CGPA,Programming Skill (1-10),Math Skill (1-10),Problem Solving (1-10),Communication Skill (1-10),Cybersecurity Knowledge (1-10),Database Knowledge (1-10),AI/ML Knowledge (1-10),Networking Skill (1-10),Creativity (1-10),Leadership (1-10),Mobile Dev Skill (1-10),Cloud Computing Skill (1-10),Blockchain Knowledge (1-10),Robotics Skill (1-10),System Design (1-10),Design Skill (1-10),Preferred Interest,Suggested Career
9.93,1,4,2,9,10,7,10,10,2,1,4,5,4,8,6,6,Networking,Cybersecurity Specialist
7.14,6,6,7,1,9,3,3,5,2,8,5,1,1,3,4,10,Design,Software Engineer
7.55,8,6,2,8,1,8,4,3,1,2,1,6,3,9,5,9,Research,Robotics Engineer
9.67,9,8,10,3,9,6,4,2,7,1,5,2,4,1,4,5,Systems,Embedded Systems Engineer
9.21,5,1,3,5,5,8,10,6,9,8,1,7,9,7,5,1,Analytics,You don’t have enough skills yet. Keep learning!
7.79,1,9,9,2,6,7,3,1,8,10,2,4,5,10,2,2,Networking,Data Analyst
6.59,8,10,9,1,5,10,5,4,8,1,2,8,3,2,2,7,Systems,Embedded Systems Engineer
8.89,8,1,1,4,10,7,7,3,7,7,7,5,2,9,6,1,Management,Robotics Engineer
7.95,5,1,4,9,9,9,2,9,2,8,2,9,5,6,7,3,Networking,Project Manager
7.83,9,9,8,4,5,3,2,4,8,6,6,1,8,6,8,8,Coding,Blockchain Developer
6.88,10,5,6,10,3,4,7,10,6,5,5,6,8,1,10,9,Analytics,Network Engineer
8.29,10,8,2,4,9,4,7,3,7,8,10,5,7,7,1,4,Systems,Embedded Systems Engineer
7.61,8,1,10,5,3,4,3,2,5,7,10,9,7,4,9,8,Research,Mobile App Developer
7.98,1,4,9,2,5,7,3,4,3,4,3,4,9,4,1,5,Research,You don’t have enough skills yet. Keep learning!
9.55,4,6,7,6,9,9,8,4,7,5,2,1,2,4,7,6,Design,Database Administrator
7.84,2,8,9,2,3,5,3,8,4,10,5,4,5,3,2,3,Research,Data Analyst
9.38,8,8,4,7,8,9,1,9,5,9,4,8,10,9,7,6,Research,Network Engineer
8.95,4,8,7,1,4,1,3,9,1,9,7,4,6,1,2,7,Management,Data Analyst
9.52,6,5,10,6,10,5,2,2,3,8,6,7,2,4,7,7,Design,Software Engineer
6.44,2,5,1,10,9,2,2,4,9,3,7,6,7,1,3,5,Management,You don’t have enough skills yet. Keep learning!
9.92,3,5,7,5,6,3,10,1,10,5,2,6,4,10,3,8,Design,UI/UX Designer
6.35,5,5,9,5,2,1,2,3,8,1,4,3,10,6,5,6,Networking,You don’t have enough skills yet. Keep learning!
6.88,10,4,9,2,9,9,3,8,5,8,4,10,9,6,4,2,Coding,Blockchain Developer
8.28,3,8,10,7,6,10,5,3,5,5,5,4,10,2,3,4,Management,Database Administrator
9.1,3,10,10,1,5,7,1,5,7,7,6,10,3,5,4,9,Research,Data Analyst
7.25,6,4,10,2,7,6,2,3,10,7,2,8,7,9,6,7,Analytics,Software Engineer
9.71,8,10,2,9,9,9,5,10,8,6,4,9,1,9,2,2,Coding,Robotics Engineer
8.72,10,5,7,5,5,10,5,1,9,3,4,8,5,1,4,8,Networking,UI/UX Designer
8.09,3,9,9,7,1,6,3,5,1,9,3,10,8,1,10,2,Design,Data Analyst
9.7,3,1,4,9,6,4,1,3,1,6,1,8,1,1,1,5,Design,You don’t have enough skills yet. Keep learning!
8.98,6,4,2,10,6,10,2,7,8,8,8,7,3,1,1,3,Design,Project Manager
9.25,1,10,6,9,5,8,6,10,6,2,10,10,2,6,3,8,Analytics,Cloud Engineer
6.16,1,3,10,2,9,6,10,9,8,7,3,10,6,2,5,9,Analytics,Cloud Engineer
8.76,6,5,9,1,10,3,10,6,6,9,5,9,8,1,5,6,Research,IoT Engineer
8.53,1,10,10,9,1,7,6,4,1,4,3,9,2,9,5,3,Systems,Data Analyst
8.66,5,5,7,8,10,10,6,5,2,7,4,3,5,2,2,1,Systems,Database Administrator
8.08,8,5,10,3,4,6,1,8,5,2,2,9,8,1,2,6,Research,Blockchain Developer
9.23,7,5,1,4,3,4,2,6,2,1,7,1,10,4,9,3,Coding,Blockchain Developer
9.46,1,9,6,4,6,7,3,3,2,3,4,1,5,3,9,2,Analytics,You don’t have enough skills yet. Keep learning!
9.72,10,6,7,10,10,1,6,4,2,8,8,7,3,6,9,10,Networking,Project Manager
9.99,8,10,10,10,10,8,1,10,10,7,3,2,8,5,2,9,Design,UI/UX Designer
8.86,9,10,10,7,6,2,4,3,2,9,10,8,10,9,8,1,Management,Robotics Engineer
7.25,3,2,5,3,4,4,5,5,5,7,2,9,4,7,5,8,Research,You don’t have enough skills yet. Keep learning!
7.44,8,7,9,7,9,9,5,6,4,3,8,3,9,6,9,8,Coding,Blockchain Developer
8.92,6,8,6,8,8,3,10,5,10,2,4,5,7,7,3,10,Systems,UI/UX Designer
6.58,4,7,3,9,8,3,9,8,5,4,2,1,7,4,9,1,Systems,You don’t have enough skills yet. Keep learning!
7.55,1,3,6,2,3,8,3,7,10,9,10,3,4,6,3,5,Networking,You don’t have enough skills yet. Keep learning!
6.25,2,7,7,7,5,1,8,2,10,2,2,9,8,5,5,7,Analytics,You don’t have enough skills yet. Keep learning!
9.44,10,9,2,7,5,4,1,8,1,10,10,4,9,4,4,2,Research,Blockchain Developer
9.92,6,5,7,8,5,3,1,10,4,2,4,5,5,1,3,9,Analytics,Software Engineer
7.26,5,7,2,9,1,5,4,1,9,10,7,2,10,6,4,5,Coding,Project Manager
6.17,5,5,4,1,5,5,4,6,1,1,7,1,10,4,9,10,Research,You don’t have enough skills yet. Keep learning!
7.72,9,1,2,2,1,3,5,1,2,4,9,8,3,6,3,3,Coding,Mobile App Developer
9.83,1,4,5,7,4,3,7,4,6,1,7,6,3,9,3,5,Networking,You don’t have enough skills yet. Keep learning!
9.8,7,7,3,8,1,6,3,3,2,6,5,5,6,9,7,8,Networking,Robotics Engineer
9.59,4,3,7,10,3,9,6,8,9,6,7,2,1,2,6,7,Coding,Database Administrator
7.17,4,9,3,2,2,1,5,1,4,10,3,8,7,7,7,1,Research,You don’t have enough skills yet. Keep learning!
9.6,7,7,10,8,6,5,8,10,8,2,7,8,4,6,7,8,Research,IoT Engineer
8.95,10,10,6,2,5,2,3,3,6,2,7,2,10,9,3,5,Research,Robotics Engineer
7.14,8,4,4,4,1,4,9,3,9,4,6,10,8,8,4,9,Management,UI/UX Designer
9.8,4,3,9,4,2,2,6,9,9,10,10,5,6,1,8,9,Design,UI/UX Designer
7.24,8,9,1,4,1,4,4,1,3,2,1,6,5,2,8,10,Networking,Software Engineer
9.44,10,2,7,7,10,10,1,9,3,4,5,5,6,5,8,5,Networking,Network Engineer
9.05,1,1,5,5,9,10,4,3,9,7,4,5,8,4,9,9,Networking,UI/UX Designer
7.59,3,5,6,1,5,8,7,3,8,5,3,8,9,9,3,2,Analytics,You don’t have enough skills yet. Keep learning!
6.77,8,1,10,6,10,1,6,4,4,6,6,5,5,5,8,6,Coding,Software Engineer
9.33,4,2,3,1,10,2,4,9,5,4,2,8,8,6,8,3,Networking,Network Engineer
6.13,1,5,9,3,9,1,6,8,10,4,1,9,7,1,4,4,Systems,Cloud Engineer
8.29,7,1,8,1,8,3,10,2,10,4,7,9,6,9,5,3,Systems,Embedded Systems Engineer
6.1,4,6,6,5,3,10,7,9,10,9,2,9,3,5,2,10,Networking,UI/UX Designer
6.16,6,4,7,9,4,7,2,10,6,7,8,6,9,5,9,5,Design,Network Engineer
8.71,4,5,1,4,9,1,3,7,4,3,7,1,5,5,1,6,Systems,Cybersecurity Specialist
8.29,5,7,10,4,2,4,9,7,5,10,4,6,1,6,9,1,Management,You don’t have enough skills yet. Keep learning!
7.21,2,3,7,10,2,2,3,1,7,8,3,3,7,6,6,8,Analytics,Project Manager
6.84,4,6,8,1,5,2,10,1,2,8,2,7,7,2,3,7,Coding,You don’t have enough skills yet. Keep learning!
7.6,5,6,10,9,3,2,5,5,8,4,4,7,2,9,3,5,Design,You don’t have enough skills yet. Keep learning!
8.53,9,9,3,8,8,10,8,10,3,3,7,1,4,2,4,5,Systems,Embedded Systems Engineer
8.13,3,6,10,1,1,10,10,8,9,1,1,6,8,9,6,10,Management,UI/UX Designer
7.26,4,5,4,5,4,7,4,5,6,6,7,4,2,7,4,9,Systems,You don’t have enough skills yet. Keep learning!
8.45,10,6,6,8,7,1,5,4,6,5,4,3,1,1,2,10,Design,Software Engineer
6.06,3,5,10,10,3,10,8,10,10,7,5,6,4,5,7,8,Networking,UI/UX Designer
7.15,1,9,2,3,6,6,4,5,4,6,8,10,2,10,5,2,Networking,You don’t have enough skills yet. Keep learning!
8.96,2,3,3,5,4,1,5,7,5,6,1,2,8,8,10,9,Systems,You don’t have enough skills yet. Keep learning!
9.02,8,10,8,10,3,5,6,2,2,5,4,9,10,3,1,6,Management,Blockchain Developer
7.71,8,4,1,3,5,6,8,9,6,5,5,9,10,9,7,1,Management,Network Engineer
6.53,10,8,9,5,7,3,1,4,5,5,1,1,2,5,1,8,Coding,Data Analyst
7.39,3,9,6,6,9,4,9,4,4,4,7,1,1,2,3,9,Design,You don’t have enough skills yet. Keep learning!
6.42,2,9,8,5,10,4,10,6,6,8,7,6,4,6,8,7,Networking,Data Scientist
9.31,5,4,6,5,7,9,4,1,10,7,2,10,10,7,3,3,Research,You don’t have enough skills yet. Keep learning!
6.39,6,10,5,9,1,9,2,8,1,8,9,1,9,4,6,8,Research,Project Manager
8.66,6,6,10,2,7,9,8,10,5,2,9,2,7,9,6,2,Design,Database Administrator
9.27,3,5,6,3,3,10,8,7,3,8,6,4,9,3,10,3,Design,You don’t have enough skills yet. Keep learning!
7.87,9,10,8,5,10,9,5,10,7,2,10,9,3,9,3,3,Design,Robotics Engineer
9.7,8,10,6,1,5,9,3,4,10,5,9,8,1,6,5,6,Systems,Embedded Systems Engineer
9.36,7,6,7,7,9,9,6,5,3,7,3,2,10,10,2,9,Research,Robotics Engineer
7.27,10,6,7,2,2,10,2,1,7,8,2,7,9,9,1,9,Research,Robotics Engineer
6.74,1,9,5,7,3,3,2,9,9,6,8,9,8,3,5,2,Management,Cloud Engineer
6.06,2,1,2,8,3,4,5,3,5,6,4,10,1,3,5,7,Analytics,You don’t have enough skills yet. Keep learning!
6.62,1,2,2,7,7,3,3,10,10,5,9,6,5,2,2,2,Systems,You don’t have enough skills yet. Keep learning!
7.47,10,4,10,5,8,8,1,4,5,1,8,5,7,10,8,3,Research,Robotics Engineer
6.84,1,8,4,10,8,5,9,2,8,7,1,9,1,4,6,10,Design,You don’t have enough skills yet. Keep learning!
7.3,8,5,7,7,1,10,10,2,3,2,9,5,6,6,8,8,Design,Database Administrator
9.64,9,8,7,5,1,10,8,5,10,1,3,2,2,9,4,4,Systems,Embedded Systems Engineer
8.31,8,6,4,1,8,5,7,2,2,5,10,1,8,2,7,10,Networking,Blockchain Developer
6.14,9,3,9,4,6,1,3,8,10,7,3,2,9,5,3,10,Research,UI/UX Designer
8.03,6,1,9,10,2,10,8,10,5,10,1,9,6,1,3,1,Networking,Project Manager
8.22,6,6,1,2,4,8,4,5,7,7,7,9,7,6,3,2,Networking,Software Engineer
7.27,4,7,7,2,9,10,5,4,1,5,4,9,2,3,5,10,Systems,Database Administrator
8.68,8,3,6,1,10,2,4,1,1,10,5,7,5,2,6,3,Systems,Embedded Systems Engineer
8.86,4,8,6,10,2,6,2,7,7,7,1,10,7,10,8,2,Coding,You don’t have enough skills yet. Keep learning!
9.48,9,2,5,6,8,2,6,7,1,6,6,4,4,7,4,4,Management,Software Engineer
7.38,3,7,1,3,2,1,5,9,6,10,1,4,10,2,10,2,Design,Network Engineer
7.34,4,1,7,2,4,4,3,7,6,2,6,1,5,8,2,5,Research,You don’t have enough skills yet. Keep learning!
6.55,4,2,3,10,1,8,1,9,7,3,3,5,3,3,1,6,Systems,You don’t have enough skills yet. Keep learning!
6.46,2,8,8,1,10,2,2,10,7,5,8,5,3,4,3,2,Coding,Cybersecurity Specialist
6.98,4,9,10,1,9,1,2,1,4,5,8,9,5,9,6,2,Research,Data Analyst
6.05,9,6,6,2,9,6,7,7,6,7,7,1,6,2,7,2,Systems,Embedded Systems Engineer
8.27,10,3,2,6,2,2,2,7,7,4,10,6,2,8,9,8,Systems,Embedded Systems Engineer
7.39,7,6,2,2,6,4,9,1,3,9,4,8,2,7,8,8,Management,Software Engineer
9.08,10,2,4,3,2,8,7,2,10,1,7,3,5,8,10,2,Analytics,Robotics Engineer
9.81,4,10,1,10,9,9,4,5,7,7,9,9,10,6,5,5,Networking,You don’t have enough skills yet. Keep learning!
6.39,2,2,10,5,2,4,1,8,7,6,2,5,8,6,1,10,Coding,You don’t have enough skills yet. Keep learning!
7.37,8,10,3,9,6,4,9,9,1,8,6,7,2,9,8,4,Research,IoT Engineer
6.39,1,3,6,3,7,8,10,10,7,7,8,4,7,5,9,10,Networking,Network Engineer
6.55,8,4,3,5,2,6,8,7,3,9,2,10,2,3,1,2,Systems,Embedded Systems Engineer
6.86,3,8,9,2,3,6,8,7,6,1,4,5,2,5,1,2,Analytics,Data Scientist
7.15,7,6,3,8,6,3,9,10,9,5,8,10,2,5,6,4,Management,Cloud Engineer
7.53,4,7,8,5,4,3,1,1,3,1,4,1,3,6,4,6,Analytics,You don’t have enough skills yet. Keep learning!
8.99,10,7,1,7,8,9,10,9,2,6,3,8,10,2,5,10,Design,Blockchain Developer
6.81,4,2,9,9,6,8,2,7,10,9,5,9,10,6,4,6,Analytics,Project Manager
7.14,3,3,10,4,3,2,8,2,5,9,7,7,8,5,5,8,Coding,You don’t have enough skills yet. Keep learning!
8.75,9,6,8,4,6,7,1,7,3,3,6,9,4,4,4,9,Research,Web Developer
9.1,1,1,8,9,8,10,5,2,2,3,10,7,2,4,6,1,Research,Database Administrator
9.05,4,3,1,2,9,3,3,6,4,8,6,9,2,2,9,8,Analytics,You don’t have enough skills yet. Keep learning!
7.35,10,6,2,1,1,4,6,1,4,10,4,2,10,2,9,6,Research,Blockchain Developer
7.28,3,10,9,10,2,7,1,4,8,8,1,6,3,3,5,5,Research,Project Manager
7.74,5,1,4,9,4,3,4,4,7,10,8,3,4,9,6,4,Networking,Project Manager
9.68,3,3,5,4,10,8,3,1,5,9,9,4,4,8,2,6,Networking,You don’t have enough skills yet. Keep learning!
6.07,10,9,3,2,2,10,7,1,3,10,10,4,9,9,6,2,Management,Robotics Engineer
8.03,10,5,9,4,8,1,3,6,9,5,2,3,2,7,5,2,Design,Game Developer
8.44,1,9,3,5,10,1,4,9,2,10,2,9,10,7,5,9,Systems,Cloud Engineer
8.86,10,8,5,1,2,2,5,10,8,10,2,8,8,1,3,4,Systems,Embedded Systems Engineer
6.84,9,3,6,8,9,4,5,2,4,9,7,5,2,6,10,4,Research,Mobile App Developer
7.59,8,1,1,9,7,7,3,3,7,2,5,7,9,7,9,4,Design,Blockchain Developer
6.68,8,1,3,5,4,8,8,7,9,3,6,6,9,7,9,2,Research,IoT Engineer
7.74,9,5,7,8,4,8,1,5,10,6,8,3,2,9,5,6,Systems,Embedded Systems Engineer
7.83,2,6,6,4,5,2,2,9,9,8,3,8,4,8,1,10,Analytics,UI/UX Designer
9.63,6,7,4,10,3,3,3,8,8,4,6,9,10,5,3,4,Management,Cloud Engineer
7.74,4,6,1,6,4,9,10,4,10,7,2,2,3,3,6,7,Design,You don’t have enough skills yet. Keep learning!
8.64,7,8,1,1,3,6,5,5,6,9,3,7,10,2,4,10,Management,Blockchain Developer
7.84,10,8,2,7,9,9,7,4,4,7,5,6,7,10,3,3,Systems,Embedded Systems Engineer
7.89,10,1,6,10,3,2,5,8,9,7,2,9,5,8,2,3,Management,Robotics Engineer
6.23,9,9,9,9,2,10,10,8,9,2,3,8,8,3,4,4,Systems,Embedded Systems Engineer
6.43,4,6,6,8,5,5,7,10,7,9,9,5,6,9,4,4,Coding,You don’t have enough skills yet. Keep learning!
8.38,5,4,9,4,1,3,3,6,9,9,7,6,3,4,6,9,Management,UI/UX Designer
7.58,1,3,3,7,5,1,4,5,7,9,10,2,4,1,2,2,Analytics,You don’t have enough skills yet. Keep learning!
9.56,7,7,5,5,9,10,1,9,10,6,4,3,9,5,9,10,Analytics,UI/UX Designer
8.71,1,8,10,10,1,8,4,2,6,4,9,7,9,3,5,6,Research,Data Analyst
8.15,2,3,3,2,5,9,7,6,3,1,9,5,2,3,5,5,Analytics,You don’t have enough skills yet. Keep learning!
9.36,2,7,8,9,3,1,6,8,7,6,1,8,3,6,6,4,Networking,Cloud Engineer
8.78,9,7,6,6,4,8,4,3,4,3,10,10,1,9,3,4,Management,Robotics Engineer
7.25,7,5,6,1,2,2,1,10,2,6,4,3,7,6,2,4,Systems,Embedded Systems Engineer
7.48,10,7,7,10,3,5,1,10,4,5,4,4,4,4,3,3,Systems,Embedded Systems Engineer
8.97,9,1,6,8,8,6,9,4,3,8,6,8,5,5,4,4,Systems,Embedded Systems Engineer
9.85,4,6,3,8,3,5,3,2,5,3,1,1,8,1,9,10,Research,You don’t have enough skills yet. Keep learning!
9.92,3,1,2,9,9,2,7,9,5,6,7,10,8,7,1,7,Systems,Cloud Engineer
9.12,7,6,5,7,6,4,4,4,7,10,9,2,7,4,8,2,Networking,Software Engineer
7.7,5,9,5,2,8,9,9,1,10,3,3,2,2,8,8,7,Management,You don’t have enough skills yet. Keep learning!
8.71,8,3,10,10,4,1,7,6,7,1,8,7,9,2,4,8,Coding,Blockchain Developer
9.09,5,1,2,1,10,8,8,2,3,1,4,1,1,1,1,10,Analytics,You don’t have enough skills yet. Keep learning!
8.05,10,3,7,4,9,4,1,6,1,10,7,6,2,2,5,5,Design,Mobile App Developer
6.51,3,4,6,2,10,10,7,6,4,3,9,4,5,1,9,7,Design,You don’t have enough skills yet. Keep learning!
8.33,9,9,7,3,3,2,5,1,4,9,7,9,6,9,9,2,Analytics,Robotics Engineer
9.67,4,8,1,3,7,9,4,2,9,5,8,10,5,2,2,9,Analytics,UI/UX Designer
9.53,1,4,3,10,4,8,4,10,7,3,2,6,9,5,1,4,Systems,You don’t have enough skills yet. Keep learning!
9.45,5,4,4,6,4,2,10,1,3,2,10,4,4,1,10,10,Design,You don’t have enough skills yet. Keep learning!
7.95,5,1,5,2,9,10,2,5,4,3,2,9,9,7,3,10,Research,You don’t have enough skills yet. Keep learning!
9.35,9,2,1,6,5,10,4,4,2,5,6,5,2,8,6,5,Networking,Robotics Engineer
7.26,7,2,1,10,2,1,10,7,9,9,9,10,8,3,10,3,Systems,Embedded Systems Engineer
8.58,3,8,6,4,6,8,8,1,2,9,5,5,4,2,3,2,Networking,You don’t have enough skills yet. Keep learning!
8.95,4,1,10,6,1,8,10,6,7,8,5,5,10,10,2,3,Analytics,You don’t have enough skills yet. Keep learning!
9.46,5,10,5,5,9,5,1,8,3,4,6,10,2,3,6,4,Networking,Cloud Engineer
7.25,10,1,6,6,2,1,5,5,5,5,10,10,6,8,5,1,Coding,Robotics Engineer
8.45,1,7,4,6,9,10,6,6,3,3,7,5,3,2,10,9,Design,You don’t have enough skills yet. Keep learning!
9.9,10,8,6,5,6,1,1,7,1,1,10,1,8,4,9,5,Research,Blockchain Developer
9.31,10,9,7,5,8,5,3,9,6,8,2,8,9,1,5,7,Analytics,Blockchain Developer
7.47,7,6,6,1,9,8,9,7,8,4,5,2,5,7,3,10,Systems,Embedded Systems Engineer
8.55,2,3,7,6,4,9,10,3,2,7,9,1,2,10,9,1,Design,Database Administrator
7.26,9,3,8,6,6,7,10,6,2,1,3,2,10,5,2,6,Networking,Blockchain Developer
6.85,4,5,6,5,4,3,5,4,4,2,2,8,5,2,3,5,Design,You don’t have enough skills yet. Keep learning!
9.28,10,1,1,3,5,7,9,5,5,10,6,4,7,1,6,6,Analytics,AI/ML Engineer
6.01,4,3,10,1,6,3,10,7,3,3,4,5,9,1,2,2,Systems,You don’t have enough skills yet. Keep learning!
9.04,9,3,4,9,8,7,8,2,2,2,8,5,7,2,7,1,Management,Mobile App Developer
7.6,5,1,3,1,3,3,1,7,3,9,8,8,8,5,8,1,Systems,You don’t have enough skills yet. Keep learning!
8.73,8,9,3,5,8,4,7,5,7,2,8,3,3,5,9,3,Networking,Mobile App Developer
7.36,10,4,6,6,5,9,1,10,9,7,6,2,5,6,5,8,Management,UI/UX Designer
6.92,2,9,7,1,4,10,7,1,3,9,10,3,1,2,5,5,Design,Database Administrator
9.09,3,4,2,5,2,3,9,5,2,4,8,3,4,1,6,6,Design,You don’t have enough skills yet. Keep learning!
7.08,2,10,2,2,7,10,5,10,9,1,7,1,8,7,8,7,Design,Network Engineer
7.84,4,2,4,4,1,5,3,5,5,5,5,8,6,8,2,10,Management,You don’t have enough skills yet. Keep learning!
9.09,1,1,3,7,10,2,5,1,6,9,2,2,7,9,6,5,Design,You don’t have enough skills yet. Keep learning!
9.35,9,5,4,1,5,7,7,10,9,10,6,7,10,2,6,8,Design,UI/UX Designer
6.14,8,10,10,8,7,7,1,1,8,10,6,7,10,4,1,9,Design,Blockchain Developer
6.69,9,9,10,7,6,10,5,7,3,9,2,10,1,6,1,7,Design,Database Administrator
9.97,4,5,5,8,1,9,9,10,5,2,4,5,1,8,5,10,Research,IoT Engineer
7.21,2,7,10,8,2,4,5,2,9,5,10,3,4,2,2,8,Analytics,UI/UX Designer
8.49,10,10,2,4,3,7,5,9,6,10,4,7,9,2,2,3,Analytics,Blockchain Developer
6.44,1,10,10,6,6,7,8,7,6,4,7,2,9,1,6,10,Networking,Data Scientist
9.19,7,1,9,10,2,9,5,10,6,1,7,4,10,3,7,8,Management,Network Engineer
8.79,7,1,7,8,5,3,4,1,4,5,7,10,6,9,6,3,Coding,Robotics Engineer
9.98,7,7,4,5,1,2,8,10,4,2,6,3,2,10,9,3,Design,Network Engineer
8.64,5,3,9,1,9,5,5,10,7,1,3,6,2,10,5,4,Research,Cybersecurity Specialist
8.94,5,7,8,4,10,6,3,5,3,1,3,1,5,2,10,2,Analytics,You don’t have enough skills yet. Keep learning!
9.96,2,8,8,7,10,8,6,7,1,6,5,7,10,3,4,1,Analytics,Cybersecurity Specialist
7.23,2,1,7,7,7,8,6,10,10,7,3,10,2,8,8,4,Analytics,Network Engineer
7.44,10,1,5,1,8,10,8,7,8,1,7,4,9,5,10,8,Systems,Embedded Systems Engineer
9.82,6,8,3,6,2,7,5,5,9,10,8,5,5,3,6,9,Research,UI/UX Designer
8.28,2,2,1,5,5,1,2,6,8,8,5,3,2,9,6,1,Systems,You don’t have enough skills yet. Keep learning!
9.16,4,4,2,2,7,1,6,4,8,2,8,10,9,9,2,6,Coding,You don’t have enough skills yet. Keep learning!
6.93,1,3,6,5,2,8,10,6,2,9,6,2,4,6,4,8,Networking,You don’t have enough skills yet. Keep learning!
6.79,5,1,3,2,4,7,4,2,9,8,7,8,3,5,6,1,Coding,You don’t have enough skills yet. Keep learning!
8.15,9,10,4,5,10,6,1,9,5,2,8,3,8,7,10,5,Design,Network Engineer
9.08,3,1,6,5,9,6,3,8,5,6,1,10,9,7,7,6,Research,Cloud Engineer
9.88,4,6,9,8,10,8,9,9,6,1,3,9,2,7,8,8,Systems,Network Engineer
9.27,7,3,7,8,5,8,10,3,8,5,6,6,2,7,6,7,Analytics,Software Engineer
7.15,2,5,8,7,6,8,8,7,10,8,7,7,9,1,2,7,Design,You don’t have enough skills yet. Keep learning!
6.86,9,8,1,9,3,4,2,9,10,5,2,8,7,2,7,10,Analytics,UI/UX Designer
6.35,5,9,2,1,8,7,6,3,2,7,6,6,2,6,3,4,Design,You don’t have enough skills yet. Keep learning!
8.58,5,7,1,5,6,7,4,4,7,8,10,5,5,8,10,10,Design,You don’t have enough skills yet. Keep learning!
7.49,8,2,4,4,2,3,4,1,4,9,9,2,6,3,4,10,Coding,Mobile App Developer
7.61,3,9,9,4,4,1,9,9,10,8,5,5,5,1,9,7,Research,IoT Engineer
7.83,2,5,4,6,6,6,9,2,10,5,5,1,9,10,1,6,Analytics,You don’t have enough skills yet. Keep learning!
7.52,3,6,9,7,1,2,6,6,9,3,5,4,4,5,2,3,Research,You don’t have enough skills yet. Keep learning!
9.19,10,3,2,8,3,1,6,9,7,9,7,1,8,4,7,4,Research,Network Engineer
6.73,4,7,3,10,5,1,8,7,4,10,9,5,4,6,9,7,Systems,Project Manager
9.76,10,5,6,7,7,10,8,8,10,1,3,9,6,5,4,1,Research,IoT Engineer
7.99,9,2,6,9,8,5,3,9,6,2,5,10,5,8,8,9,Research,Network Engineer
8.79,4,9,8,6,5,6,2,9,3,6,6,3,1,2,1,6,Systems,Data Analyst
9.45,5,1,9,8,8,4,4,5,6,9,5,7,7,4,9,1,Coding,You don’t have enough skills yet. Keep learning!
6.18,7,7,9,10,3,9,1,8,2,7,4,4,1,8,7,4,Research,Robotics Engineer
7.37,3,7,1,8,7,1,10,9,9,6,1,4,5,7,2,6,Systems,You don’t have enough skills yet. Keep learning!
8.6,8,6,9,4,6,2,1,6,6,9,10,3,6,6,10,7,Research,Mobile App Developer
6.6,7,4,1,6,5,8,8,3,2,6,8,3,10,3,3,5,Coding,Blockchain Developer
8.16,10,6,10,9,2,3,3,8,3,1,2,4,7,10,1,8,Analytics,Robotics Engineer
6.79,5,9,2,6,2,1,10,4,3,4,1,8,8,9,4,8,Networking,You don’t have enough skills yet. Keep learning!
7.01,6,3,8,4,7,2,4,8,5,8,7,4,1,9,3,3,Systems,Software Engineer
8.34,10,6,7,3,4,10,8,5,9,3,4,3,8,1,10,7,Systems,Embedded Systems Engineer
8.5,10,4,7,4,10,4,7,10,3,9,3,7,8,6,7,6,Design,Network Engineer
